Mean Test Score,Standard Deviation,Parameters
-3.432606081183409,1.078534440656593,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
-1.5687689025809644,0.8415790010355344,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
-2.4900886768633343,0.4426890018773546,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [64, 64, 32]}"
-0.7423358960994024,0.033009394328843034,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [64, 32, 16]}"
-2.028808729838329,1.2698086793368994,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'RMSprop', 'units': [256, 128, 64]}"
-1.6339627178284175,0.10547637372752605,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'RMSprop', 'units': [256, 128, 32]}"
-1.4288509820086985,0.4382395829153721,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'RMSprop', 'units': [128, 64, 32]}"
-1.598953037626793,0.8181901929288152,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'RMSprop', 'units': [128, 64, 16]}"
-1.9312872915070485,1.0108278623635605,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'RMSprop', 'units': [64, 64, 32]}"
-2.1207610379469513,0.8688811295143097,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'RMSprop', 'units': [64, 32, 16]}"
-0.0802950857240103,0.0028960424197389256,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 64]}"
-0.22343264999889204,0.041381724653360236,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 32]}"
-0.1430345744485893,0.00593991486241667,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [128, 64, 32]}"
-0.10630425245860534,8.673908209445162e-05,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [128, 64, 16]}"
-0.1490671358432798,0.035617728955162534,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-0.25995124290314015,0.022281901207620344,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [64, 32, 16]}"
-0.11580341624520035,0.005029747357848259,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [256, 128, 64]}"
-0.1652818036353983,0.02921666144931047,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [256, 128, 32]}"
-0.11365971929259364,0.014290514828460894,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
