Number of Features,Eliminated Feature,MSE,MAE,RMSE,MAPE,SMAPE
60,MOM,0.0002260673018792,0.0035100273915308,0.0150355346389558,5235873279.075114,5235873279.075114
37,Real Upper Band,0.000226128829925,0.0035289996149534,0.0150375805874814,5617779485.150624,5617779485.150624
58,MACD,0.0002261559932688,0.0034773779738345,0.0150384837423484,5235873279.074669,5235873279.074669
58,Unnamed: 0,0.000226219789077,0.0034548902963651,0.0150406046779073,5235873279.074524,5235873279.074524
38,OBV,0.0002262282844062,0.0035756429276003,0.0150408870884087,5235873279.075153,5235873279.075153
40,OBV,0.0002262442365101,0.0036042494908688,0.0150414173703865,5235873279.075277,5235873279.075277
28,MIDPRICE,0.0002262521909949,0.0035358339159461,0.0150416817874499,5628606580.751667,5628606580.751667
39,ROCR,0.0002262560915503,0.0035727610436925,0.0150418114451143,5235873279.074955,5235873279.074955
34,RSI,0.0002263031276143,0.0035583489368555,0.0150433748744885,5246700374.676169,5246700374.676169
39,DX,0.0002263317573335,0.0035430678821528,0.015044326416744,5235873279.074904,5235873279.074904
34,SAR,0.000226338884083,0.0035582267844645,0.0150445632732584,4803998326.485841,4803998326.485841
44,RSI,0.0002263746563671,0.0036024742208146,0.0150457521037394,5235873279.075125,5235873279.075125
38,MOM,0.0002263771922805,0.0035991616353396,0.0150458363769034,5235873279.075144,5235873279.075144
39,MOM,0.0002263884736567,0.0035805312601472,0.0150462112725025,5235873279.074982,5235873279.074982
38,HT_DCPHASE,0.0002264031999263,0.0035821144062824,0.0150467006325745,5235873279.075168,5235873279.075168
40,MINUS_DI,0.0002264045087142,0.0035736286555281,0.0150467441233729,5235873279.075067,5235873279.075067
58,MACD_Signal,0.0002264057259584,0.0034795168760597,0.015046784572077,5235873279.074719,5235873279.074719
39,MFI,0.0002264116461704,0.003572701366154,0.0150469812976055,5235873279.074965,5235873279.074965
38,ADOSC,0.0002264146234136,0.0035785853366758,0.0150470802288565,5235873279.075198,5235873279.075198
47,RSI,0.0002264269097151,0.0035429170718565,0.0150474884852956,5235873279.074962,5235873279.074962
45,3. low,0.0002264571919905,0.0035672911985483,0.0150484946752344,5246700374.675903,5246700374.675903
43,OBV,0.0002265507947874,0.0035893599777175,0.0150516043924693,5235873279.075099,5235873279.075099
30,Chaikin A/D,0.0002266087503599,0.0035325888735433,0.0150535294984244,5628606580.751758,5628606580.751758
54,SlowD,0.0002266279094072,0.003523522050074,0.0150541658489351,5235873279.074798,5235873279.074798
16,PHASE,0.0002266395179171,0.0035333913721449,0.0150545514020559,5653451757.628876,5653451757.628876
34,FastK,0.0002266907387961,0.0035676839722786,0.0150562524818133,5246700374.676211,5246700374.676211
28,TRANGE,0.0002267060001259,0.003483526254926,0.0150567592836542,5628606580.751592,5628606580.751592
44,ROCR,0.0002267229558017,0.003596362907059,0.0150573223317329,5235873279.07512,5235873279.07512
44,TRANGE,0.0002267282910953,0.0035550016537898,0.0150574994967745,5235873279.075095,5235873279.075095
29,DX,0.0002267482177415,0.0034761898480758,0.015058161167339,5628606580.751148,5628606580.751148
60,T3,0.0002267604264173,0.0034916266615253,0.0150585665459019,5235873279.074932,5235873279.074932
60,ROCR,0.0002268084182614,0.0035181626789979,0.0150601599679915,5235873279.075222,5235873279.075222
44,ROC,0.0002268562744971,0.0035991541406413,0.0150617487197591,5235873279.075131,5235873279.075131
20,APO,0.0002268720230485,0.0035014630408753,0.0150622715102526,5653451757.628494,5653451757.628494
40,SMA_SMA3,0.0002269256346877,0.0036175837193489,0.015064051071598,5235873279.075278,5235873279.075278
59,CCI,0.0002270389045998,0.0034985784337577,0.0150678102124978,5235873279.074736,5235873279.074736
44,MOM,0.0002270824036466,0.0035931910928124,0.0150692535862467,5235873279.07511,5235873279.07511
28,MACD,0.0002271022966344,0.0034818485245046,0.0150699136239888,5628606580.751461,5628606580.751461
22,OBV,0.000227109616775,0.0035081065679758,0.0150701564947096,5653451757.628684,5653451757.628684
27,LEAD SINE,0.0002271153269427,0.0034939503828034,0.0150703459463511,5628606580.751785,5628606580.751785
39,Chaikin A/D,0.0002271222754729,0.0035830273770011,0.0150705764811098,5235873279.07516,5235873279.07516
36,PLUS_DM,0.0002271236716227,0.0036100234520593,0.0150706228014206,5246700374.676659,5246700374.676659
42,PLUS_DM,0.0002271298276574,0.0036161672078515,0.0150708270395958,5235873279.075379,5235873279.075379
34,OBV,0.0002271772313249,0.0035804302040985,0.0150723996538371,5246700374.675877,5246700374.675877
43,DX,0.000227218496738,0.0036083059388951,0.0150737684982224,5235873279.075068,5235873279.075068
32,NATR,0.0002272526030703,0.0035465210137417,0.0150748997698272,5628606580.751623,5628606580.751623
48,TRIX,0.0002272547983966,0.0034918940632928,0.0150749725836127,5235873279.074922,5235873279.074922
30,MFI,0.0002272672328169,0.003515626795111,0.0150753849973048,5628606580.75157,5628606580.75157
38,RSI,0.0002272702596178,0.0035543194615213,0.0150754853858135,5235873279.075016,5235873279.075016
48,SMA,0.0002272812979934,0.003504215917986,0.0150758514848576,5235873279.074978,5235873279.074978
28,MACD_Signal,0.0002272826415628,0.0034873459380412,0.0150758960451057,5628606580.751468,5628606580.751468
38,PLUS_DM,0.0002272935010295,0.0035957460807596,0.0150762562007124,5235873279.075272,5235873279.075272
33,ADOSC,0.000227352868711,0.003518870961375,0.0150782249854221,5628606580.751738,5628606580.751738
32,ADOSC,0.0002273573966501,0.0035376733889319,0.0150783751329554,5628606580.751601,5628606580.751601
35,TRANGE,0.0002273590068069,0.0035377171281071,0.0150784285257759,5246700374.675914,5246700374.675914
34,DX,0.0002273860490103,0.0035405801772945,0.0150793252173427,5246700374.675689,5246700374.675689
63,DCPERIOD,0.0002274025434932,0.0034611582058813,0.0150798721311984,5235873279.074692,5235873279.074692
17,ROCR,0.0002274104672952,0.0034798319855789,0.015080134856668,5653451757.627999,5653451757.627999
37,KAMA,0.0002274179563975,0.0036331989944705,0.0150803831648117,5058308481.575092,5058308481.575092
38,NATR,0.0002274221998347,0.0036067242618189,0.0150805238581012,5235873279.075202,5235873279.075202
37,HT_TRENDLINE,0.000227453091912,0.0035683644596425,0.01508154806086,5235873279.075122,5235873279.075122
32,ATR,0.0002274577360103,0.0035491952429036,0.0150817020263089,5628606580.751634,5628606580.751634
60,MACD_Hist,0.0002274875891092,0.0035013448591533,0.0150826917063651,5235873279.075024,5235873279.075024
38,EMA,0.0002274965337057,0.0035510197314283,0.0150829882220262,5235873279.075021,5235873279.075021
58,5. volume,0.0002275014794173,0.0034734599568232,0.0150831521711269,5235873279.074736,5235873279.074736
38,ATR,0.000227516952322,0.0036107132403342,0.0150836650825322,5235873279.0752125,5235873279.0752125
63,HT_DCPHASE,0.0002275229126154,0.0034690272703876,0.0150838626556801,5235873279.074704,5235873279.074704
27,SAR,0.0002275395516586,0.0035194973700684,0.0150844141967362,4978860389.408132,4978860389.408132
35,ADOSC,0.0002275643544876,0.0035656661663472,0.015085236308645,5246700374.67607,5246700374.67607
38,KAMA,0.0002275700861526,0.0036080439898563,0.015085426283424,5058308481.575079,5058308481.575079
57,WMA,0.0002275925579841,0.0034941904276647,0.0150861710842779,5235873279.0748005,5235873279.0748005
34,MAMA,0.0002276004298962,0.0035797860783606,0.0150864319803026,5246700374.676212,5246700374.676212
34,MACD,0.0002276256499338,0.0035794479731821,0.0150872678087787,5246700374.676195,5246700374.676195
8,MOM,0.0002276608496184,0.0036558684156083,0.0150884342997704,5003705566.285483,5003705566.285483
27,TRANGE,0.0002276847834717,0.0034978675653702,0.0150892273981042,5628606580.751742,5628606580.751742
44,PLUS_DM,0.0002277044690745,0.0035876944507635,0.0150898796905246,5235873279.075249,5235873279.075249
47,DEMA,0.0002277199376683,0.003572193705736,0.0150903922304338,5235873279.07515,5235873279.07515
60,SlowK,0.0002277210411102,0.0035051243285627,0.015090428791464,5235873279.075036,5235873279.075036
31,ADOSC,0.0002277228423901,0.0035047551120621,0.0150904884742073,5628606580.75149,5628606580.75149
46,WILLR,0.0002277322695798,0.0034854609396965,0.0150908008263262,5235873279.074816,5235873279.074816
42,PHASE,0.0002277653576389,0.0035889457476446,0.0150918970854888,5235873279.074993,5235873279.074993
59,DX,0.0002277718431973,0.0034877072322153,0.0150921119528513,5235873279.074714,5235873279.074714
34,MACD_Signal,0.0002277875259498,0.0035812593815211,0.0150926315117622,5246700374.676207,5246700374.676207
60,FastK,0.0002277977369001,0.0035108836644676,0.0150929697839789,5235873279.075069,5235873279.075069
60,TRIMA,0.0002278345740163,0.0034907569390428,0.0150941900748722,5235873279.074938,5235873279.074938
39,OBV,0.0002278485461072,0.0035702790096695,0.0150946528978716,5235873279.075159,5235873279.075159
19,TRANGE,0.0002278510357697,0.0034799773433223,0.0150947353660065,5653451757.628282,5653451757.628282
35,NATR,0.0002278892248046,0.0035826309781265,0.0150960002916226,5246700374.675993,5246700374.675993
29,ROCR,0.0002279325873676,0.003467644246531,0.0150974364501956,5628606580.751127,5628606580.751127
39,MINUS_DI,0.0002279499950786,0.0036054026742815,0.0150980129513344,5235873279.074996,5235873279.074996
46,APO,0.0002280096276583,0.0034985833671552,0.0150999876707997,5235873279.074843,5235873279.074843
32,SAR,0.0002280127140889,0.0035675123484378,0.0151000898702283,4978860389.408228,4978860389.408228
46,MOM,0.0002280205330094,0.0034961402612341,0.0151003487711211,5235873279.074837,5235873279.074837
35,HT_TRENDLINE,0.0002280222751618,0.0035985034949194,0.0151004064568439,5246700374.676206,5246700374.676206
60,MACD,0.0002280404282154,0.0035079790727861,0.0151010075231888,5235873279.075061,5235873279.075061
33,TRANGE,0.0002280435929562,0.0035260262837558,0.0151011123085772,5628606580.752115,5628606580.752115
23,DX,0.0002280545988772,0.00348813210192,0.0151014767118054,5653451757.628374,5653451757.628374
41,Real Upper Band,0.000228068328437,0.0035492523370825,0.0151019312816964,5617779485.150746,5617779485.150746
60,KAMA,0.0002280744418599,0.0035057708150078,0.0151021336856733,5058308481.57493,5058308481.57493
30,SAR,0.0002280745687042,0.0035301277437202,0.0151021378852216,4978860389.408239,4978860389.408239
35,MFI,0.0002281046906136,0.003524385100281,0.0151031351253177,5246700374.675785,5246700374.675785
39,WILLR,0.0002281175581978,0.0035679901764739,0.0151035611098134,5235873279.07494,5235873279.07494
33,PLUS_DM,0.0002281277265038,0.0035983511530434,0.0151038977255496,5628606580.75213,5628606580.75213
46,PPO,0.0002281930029036,0.0035000354501353,0.0151060584833928,5235873279.074853,5235873279.074853
60,MACD_Signal,0.0002282720908263,0.0035100054559715,0.015108676011694,5235873279.075109,5235873279.075109
42,SMA_SMA3,0.0002282880032379,0.0036000060794899,0.0151092026009946,5235873279.075143,5235873279.075143
35,PHASE,0.0002282889681437,0.0035547029846586,0.0151092345320252,5246700374.675903,5246700374.675903
44,SAR,0.0002282909393721,0.0036169543316447,0.015109299764453,4793171230.8848,4793171230.8848
30,DX,0.0002282935565092,0.0035000095097158,0.0151093863710362,5628606580.751456,5628606580.751456
47,Chaikin A/D,0.0002283133392568,0.0035523647276611,0.015110041007783,5235873279.075206,5235873279.075206
36,PLUS_DI,0.0002283323522065,0.0035862625580397,0.0151106701441911,5246700374.67601,5246700374.67601
40,ADOSC,0.0002283427506471,0.003608196856662,0.0151110142163628,5235873279.07531,5235873279.07531
31,MIDPRICE,0.0002283565829327,0.0035648019204605,0.0151114718982878,5628606580.751817,5628606580.751817
48,FAMA,0.0002283682912693,0.0035089662565841,0.0151118592922684,5235873279.074948,5235873279.074948
37,Chaikin A/D,0.000228429325001,0.0036356682306266,0.0151138785558527,5235873279.075377,5235873279.075377
59,MIDPOINT,0.0002284293860584,0.0035156083837484,0.0151138805757632,5235873279.074816,5235873279.074816
34,LEAD SINE,0.0002285185307545,0.0035954684773909,0.0151168293882844,5246700374.67602,5246700374.67602
58,MOM,0.0002285214374047,0.0035011446153351,0.0151169255275242,5235873279.074674,5235873279.074674
34,PLUS_DM,0.0002285241053882,0.0036045452394132,0.0151170137721802,5246700374.676326,5246700374.676326
39,SMA_SMA3,0.0002285992805279,0.0035888137344478,0.015119500009193,5235873279.075089,5235873279.075089
43,Real Lower Band,0.0002286011033959,0.0035778807131908,0.0151195602910909,5235873279.075004,5235873279.075004
48,MFI,0.0002286645711219,0.0035110281177011,0.015121659006934,5235873279.074967,5235873279.074967
35,ROCR,0.0002286913170744,0.003534269419482,0.01512254334014,5246700374.675815,5246700374.675815
20,RSI,0.00022869162849,0.0034985562418624,0.0151225536365411,5653451757.628464,5653451757.628464
33,PLUS_DI,0.0002287842910755,0.0035410183197076,0.0151256170477615,5628606580.751938,5628606580.751938
29,MFI,0.0002288228875353,0.0034661716308539,0.015126892857933,5628606580.751198,5628606580.751198
57,ROC,0.0002288273603762,0.0034866688946131,0.0151270407012157,5235873279.074751,5235873279.074751
40,SAR,0.0002288301733716,0.0035869011793279,0.0151271336799692,4793171230.884706,4793171230.884706
37,TRANGE,0.000228841122028,0.003597630630648,0.0151274955636425,5235873279.075177,5235873279.075177
43,Real Upper Band,0.0002289269885232,0.0036037050699296,0.0151303333910133,5617779485.151072,5617779485.151072
27,PLUS_DI,0.0002289482878335,0.0034624085133974,0.015131037235879,5628606580.751685,5628606580.751685
57,MINUS_DI,0.0002289814571216,0.0034511056429917,0.015132133264074,5235873279.074635,5235873279.074635
38,WILLR,0.0002289899892569,0.0035540117570102,0.0151324151825466,5235873279.075029,5235873279.075029
30,TRANGE,0.0002290359496622,0.0035198058386779,0.0151339337140837,5628606580.751836,5628606580.751836
26,SAR,0.0002290656214573,0.0034828449988127,0.0151349139890951,4978860389.407905,4978860389.407905
58,ROC,0.0002290999123242,0.0034916862229209,0.0151360467865378,5235873279.074647,5235873279.074647
58,MINUS_DM,0.0002292284015856,0.0034881993311492,0.0151402906704484,5235873279.074736,5235873279.074736
24,Chaikin A/D,0.0002292624598421,0.0034585927108862,0.0151414153843725,5653451757.628499,5653451757.628499
43,ADOSC,0.0002292838567955,0.0035947365498094,0.01514212193834,5235873279.075105,5235873279.075105
57,WILLR,0.0002292974071459,0.0034761883748953,0.0151425693706843,5235873279.0746975,5235873279.0746975
46,RSI,0.0002292981136709,0.0034916869421686,0.0151425926997626,5235873279.074776,5235873279.074776
30,SMA_SMA3,0.0002293091449878,0.0035354793032059,0.0151429569433412,5628606580.751732,5628606580.751732
27,DX,0.0002293726404218,0.0034902595750441,0.0151450533317585,5628606580.751553,5628606580.751553
57,CMO,0.0002294382236288,0.003474981409823,0.015147218346247,5235873279.074709,5235873279.074709
38,PLUS_DI,0.000229451237489,0.0035780491859434,0.0151476479193648,5235873279.07503,5235873279.07503
57,PPO,0.0002294916997691,0.003471608610928,0.0151489834566266,5235873279.074688,5235873279.074688
57,APO,0.0002294916997691,0.003471608610928,0.0151489834566266,5235873279.074688,5235873279.074688
57,ADXR,0.0002295021542582,0.0034723831507011,0.0151493285084938,5235873279.074691,5235873279.074691
57,MOM,0.0002295062743574,0.0034766021910013,0.0151494644907801,5235873279.074717,5235873279.074717
15,MIDPRICE,0.0002295277298093,0.0035337771653516,0.0151501725999864,5653451757.628349,5653451757.628349
28,RSI,0.0002296090019745,0.0034846861351815,0.0151528545817127,5628606580.75149,5628606580.75149
57,KAMA,0.0002296311949823,0.0034673019568665,0.01515358686854,5058308481.574789,5058308481.574789
54,3. low,0.0002296531002702,0.0035197669395434,0.0151543096269756,5246700374.675579,5246700374.675579
60,CMO,0.0002296901982997,0.0035214433051016,0.0151555335867705,5235873279.07512,5235873279.07512
28,LEAD SINE,0.0002297145579063,0.0034664046745941,0.0151563372193384,5628606580.751457,5628606580.751457
47,ADOSC,0.0002297193451661,0.0035445661065503,0.0151564951478284,5235873279.075171,5235873279.075171
28,FastK,0.0002297214680511,0.0034928230675262,0.0151565651798544,5628606580.751488,5628606580.751488
17,PHASE,0.0002297380042429,0.0034987483658657,0.0151571106825475,5653451757.628158,5653451757.628158
59,ADOSC,0.0002297452911972,0.003487761870339,0.0151573510613576,5235873279.0748205,5235873279.0748205
46,TEMA,0.00022977127009,0.0035569081450717,0.0151582080105145,4793171230.884756,4793171230.884756
24,ADOSC,0.0002297795024517,0.0034504162632381,0.0151584795560701,5653451757.628306,5653451757.628306
24,SAR,0.0002298790343093,0.0034789095208874,0.0151617622428724,5003705566.285288,5003705566.285288
60,MINUS_DI,0.0002298933499859,0.0034892778234727,0.0151622343335639,5235873279.07522,5235873279.07522
18,MACD,0.0002298970760451,0.0035385450079471,0.0151623572060927,5653451757.628582,5653451757.628582
47,WILLR,0.0002299150543227,0.0035658861128812,0.0151629500534282,5235873279.075057,5235873279.075057
22,SMA_SMA3,0.0002299693823631,0.0035282401371845,0.0151647414209122,5653451757.628641,5653451757.628641
46,FastK,0.0002299744021264,0.0034923340198874,0.0151649069277225,5235873279.074829,5235873279.074829
18,MACD_Signal,0.0002299764477586,0.0035414228328198,0.0151649743738217,5653451757.628596,5653451757.628596
32,PLUS_DI,0.0002300100023771,0.0035282255993657,0.0151660806531261,5628606580.751694,5628606580.751694
58,ROCR,0.0002300124465315,0.0034998827681374,0.0151661612325448,5235873279.074664,5235873279.074664
59,Real Lower Band,0.000230031889463,0.0035240212845911,0.0151668022161246,5235873279.074867,5235873279.074867
33,MINUS_DI,0.0002300570087932,0.0035021627669778,0.0151676302959046,5628606580.751501,5628606580.751501
43,TEMA,0.0002300679715796,0.0035743746787825,0.0151679916791807,4793171230.8849,4793171230.8849
62,MINUS_DI,0.0002300939948661,0.0034628307695362,0.0151688494905246,5235873279.074809,5235873279.074809
48,SAR,0.0002301200030629,0.003557313445738,0.0151697067559982,4793171230.884793,4793171230.884793
49,MIDPOINT,0.0002301217962672,0.0035230649574467,0.0151697658606614,5235873279.075188,5235873279.075188
34,PLUS_DI,0.000230125897963,0.0035500820400135,0.0151699010531712,5246700374.675736,5246700374.675736
64,QUADRATURE,0.0002301651230576,0.0034740683115137,0.0151711938573627,5235873279.074685,5235873279.074685
25,MFI,0.0002301828559184,0.0034650293806332,0.0151717782714629,5628606580.751305,5628606580.751305
29,ROC,0.0002302104298026,0.003481221395431,0.0151726869671342,5628606580.751181,5628606580.751181
47,MOM,0.000230217111842,0.0035575140337201,0.0151729071651416,5235873279.074921,5235873279.074921
45,SINE,0.0002302465839622,0.0035295804936862,0.0151738783428066,5235873279.075045,5235873279.075045
47,ROCR,0.0002302492827623,0.0035594792082478,0.0151739672716908,5235873279.075026,5235873279.075026
20,MACD_Signal,0.0002302662533835,0.0035104698028068,0.0151745264632402,5653451757.62858,5653451757.62858
22,PLUS_DI,0.0002302684275629,0.0035151315940291,0.0151745981021886,5653451757.628579,5653451757.628579
26,PHASE,0.0002303026609933,0.0034876055919286,0.0151757260450135,5628606580.7515135,5628606580.7515135
57,MACD_Signal,0.0002303085155883,0.0034981714159024,0.0151759189371959,5235873279.074941,5235873279.074941
31,NATR,0.0002303169629864,0.0035461593792547,0.0151761972505112,5628606580.751595,5628606580.751595
45,MACD_Hist,0.0002303183314751,0.0035468333581403,0.0151762423371235,5235873279.074853,5235873279.074853
31,ATR,0.0002303257341059,0.0035471615547021,0.0151764862239557,5628606580.751595,5628606580.751595
46,1. open,0.0002303304450601,0.0040974781910834,0.0151766414288581,6860273054.136172,6860273054.136172
58,CMO,0.0002303308445802,0.0035115561079121,0.01517665459119,5235873279.07469,5235873279.07469
59,MOM,0.0002303903240065,0.0034958814860055,0.0151786140344413,5235873279.074623,5235873279.074623
57,ROCR,0.0002303925809619,0.0034836923489806,0.0151786883808168,5235873279.074736,5235873279.074736
29,PHASE,0.0002304045300764,0.0035096291390388,0.0151790819905697,5628606580.751396,5628606580.751396
43,SAR,0.0002304426900394,0.0035836162904067,0.0151803389303224,4793171230.884519,4793171230.884519
32,OBV,0.0002305153947617,0.0035454701120002,0.0151827334417018,5628606580.751547,5628606580.751547
59,NATR,0.0002305484403374,0.0034977639020251,0.0151838216644376,5235873279.074702,5235873279.074702
59,ATR,0.0002305500705906,0.0034977604531904,0.0151838753482324,5235873279.074702,5235873279.074702
55,TRENDMODE,0.0002305509648441,0.0034932492433871,0.0151839047956773,5235873279.0748005,5235873279.0748005
25,KAMA,0.0002305695078291,0.0034820003223424,0.0151845153965847,5628606580.751251,5628606580.751251
45,TEMA,0.0002305725267631,0.0035792036313223,0.0151846148045687,4793171230.884983,4793171230.884983
57,TRIMA,0.0002305847085907,0.0034918318204999,0.0151850159232947,5235873279.074894,5235873279.074894
57,MINUS_DM,0.0002306191634155,0.0035284229776364,0.0151861503816977,5235873279.074884,5235873279.074884
54,EMA,0.0002306634198465,0.0035240654406112,0.015187607443127,5235873279.074799,5235873279.074799
40,Chaikin A/D,0.000230667555071,0.003624879123197,0.0151877435806327,5235873279.075439,5235873279.075439
16,MFI,0.0002306887825596,0.0035049129769676,0.0151884424007097,5653451757.628175,5653451757.628175
61,FastD_STOCHRSI2,0.000230733090895,0.003494064154158,0.0151899009507983,5235873279.07504,5235873279.07504
58,DX,0.0002307545138659,0.0035024625423522,0.0151906061059426,5235873279.074747,5235873279.074747
45,PLUS_DM,0.0002307811898377,0.0036422305978033,0.0151914841222897,5235873279.075389,5235873279.075389
62,TRENDMODE,0.0002307940651512,0.0035086954824549,0.015191907883845,5235873279.074959,5235873279.074959
60,SMA,0.0002308296031526,0.0035060877462583,0.015193077474715,5235873279.075,5235873279.075
57,SlowD,0.0002308673495872,0.0035105366256847,0.0151943196487139,5235873279.074914,5235873279.074914
58,FastK_STOCHRSI2,0.0002308694738048,0.0034981175447276,0.0151943895502532,5235873279.074694,5235873279.074694
62,WILLR,0.0002308718125609,0.0035176094938176,0.0151944665112322,5235873279.075069,5235873279.075069
57,MACD,0.0002308859214438,0.0035016967698863,0.0151949307811482,5235873279.074911,5235873279.074911
47,PPO,0.0002309135757883,0.0035682238871973,0.0151958407397652,5235873279.075057,5235873279.075057
47,APO,0.0002309135757883,0.0035682238871973,0.0151958407397652,5235873279.075057,5235873279.075057
11,FastK,0.0002309429041753,0.0035227513698099,0.0151968057227628,5653451757.628288,5653451757.628288
53,ADXR,0.0002309720811638,0.0034819576654681,0.0151977656635386,5235873279.074718,5235873279.074718
53,APO,0.0002309748142169,0.0034815260980259,0.0151978555795513,5235873279.074717,5235873279.074717
53,PPO,0.0002309748142169,0.0034815260980259,0.0151978555795513,5235873279.074717,5235873279.074717
53,MOM,0.0002309755600405,0.0034815959334482,0.0151978801166663,5235873279.0747175,5235873279.0747175
53,CMO,0.0002310013069572,0.0034849511755668,0.0151987271492475,5235873279.074724,5235873279.074724
16,MIDPRICE,0.0002310142842978,0.0035258560963247,0.0151991540652045,5653451757.628642,5653451757.628642
57,SMA,0.0002310178305756,0.0034937300271967,0.0151992707251268,5235873279.074924,5235873279.074924
58,T3,0.0002310199510974,0.0034769612440237,0.0151993404823198,5235873279.074595,5235873279.074595
25,ROCR,0.0002310610012015,0.0034728119424335,0.0152006908132989,5628606580.751279,5628606580.751279
37,SMA_SMA3,0.0002310705068122,0.0036245565112509,0.0152010034804369,5235873279.075298,5235873279.075298
39,Real Upper Band,0.0002310922922244,0.0036114042213842,0.0152017200416423,5617779485.151079,5617779485.151079
48,MACD,0.0002311191475751,0.0035407843214418,0.0152026033157213,5235873279.075004,5235873279.075004
48,MAMA,0.0002311505976329,0.0035391358147066,0.0152036376447519,5235873279.074993,5235873279.074993
48,TRIMA,0.0002311589762908,0.0035428812094774,0.0152039131900587,5235873279.075029,5235873279.075029
53,ROC,0.0002311617857797,0.0034838522401819,0.0152040055833905,5235873279.074715,5235873279.074715
48,SINE,0.0002312297070957,0.0035427384563446,0.0152062390845248,5235873279.0751,5235873279.0751
25,DX,0.0002312622306857,0.0034675831922478,0.0152073084628989,5628606580.75129,5628606580.75129
29,Real Lower Band,0.000231283240698,0.0034908848754784,0.015207999233892,5628606580.751198,5628606580.751198
43,SINE,0.0002313098195708,0.0035893188259036,0.0152088730539403,5235873279.075185,5235873279.075185
48,ADOSC,0.0002313238985501,0.003535539526838,0.015209335901023,5235873279.075058,5235873279.075058
57,MAMA,0.000231325397589,0.003504305963506,0.0152093851811646,5235873279.074934,5235873279.074934
18,KAMA,0.0002313705132669,0.0035424015811743,0.0152108682614414,5653451757.628665,5653451757.628665
34,MIDPRICE,0.0002313872730325,0.003585167806977,0.0152114191656305,5246700374.676027,5246700374.676027
47,T3,0.0002313935962473,0.0035563532464229,0.0152116270085534,5235873279.075019,5235873279.075019
61,FAMA,0.0002314079219347,0.0034959389180146,0.01521209788079,5235873279.074756,5235873279.074756
44,MIDPRICE,0.0002314114666505,0.0035670829247634,0.0152122143901065,5235873279.074969,5235873279.074969
48,MACD_Signal,0.0002314355929931,0.003544554709482,0.0152130073618977,5235873279.075053,5235873279.075053
44,Real Lower Band,0.0002314407692158,0.0035534174291184,0.015213177485846,5235873279.075015,5235873279.075015
12,MACD_Signal,0.0002314523162195,0.0035556685666708,0.0152135569877524,5653451757.628637,5653451757.628637
46,PHASE,0.0002314774776797,0.0035720676294367,0.0152143839073345,5235873279.074921,5235873279.074921
48,Chaikin A/D,0.0002315159147351,0.0035435642883204,0.0152156470363623,5235873279.075079,5235873279.075079
16,Real Lower Band,0.0002315186183957,0.0035140831472653,0.015215735880848,5653451757.628164,5653451757.628164
23,MACD_Signal,0.0002315499732021,0.0035277010514081,0.0152167661874048,5653451757.628547,5653451757.628547
59,3. low,0.0002315907520304,0.0035075722106499,0.0152181060592452,5246700374.675326,5246700374.675326
53,WILLR,0.0002315956255862,0.0034832057610303,0.0152182661820003,5235873279.074719,5235873279.074719
34,HT_TRENDLINE,0.000231596817293,0.0036039000682161,0.0152183053357802,5246700374.676076,5246700374.676076
20,FastK,0.0002315990928819,0.003521025099766,0.0152183801004547,5653451757.628546,5653451757.628546
35,PPO,0.0002316604714555,0.0035250740560363,0.0152203965603919,5246700374.675675,5246700374.675675
35,APO,0.0002316604714555,0.0035250740560363,0.0152203965603919,5246700374.675675,5246700374.675675
47,NATR,0.0002316669210443,0.0035595901626383,0.0152206084321326,5235873279.075211,5235873279.075211
59,T3,0.0002316995089171,0.0035042367205689,0.0152216789125631,5235873279.07454,5235873279.07454
60,SINE,0.0002317140227922,0.0034847724617783,0.0152221556552361,5235873279.074696,5235873279.074696
52,FastK_STOCHRSI2,0.0002317839834238,0.0034856646483407,0.0152244534688075,5235873279.074774,5235873279.074774
62,FastK_STOCHRSI2,0.0002317868552,0.0035030501374743,0.0152245477831057,5235873279.075049,5235873279.075049
29,SAR,0.0002317954767196,0.0034829437648121,0.0152248309258152,4978860389.408024,4978860389.408024
47,ATR,0.0002318017463845,0.0035615017548256,0.0152250368270358,5235873279.075219,5235873279.075219
59,TRIX,0.0002318099365019,0.003501855970999,0.0152253057933816,5235873279.074723,5235873279.074723
39,ROC,0.000231858613511,0.0035953887876414,0.0152269042655128,5235873279.075008,5235873279.075008
38,1. open,0.0002318628328845,0.0040460668491984,0.0152270428148255,6860273054.136449,6860273054.136449
48,TRANGE,0.0002318680676021,0.0035568074989536,0.0152272147027025,5235873279.074994,5235873279.074994
47,SMA_SMA3,0.0002318956405277,0.0035767360931786,0.0152281200588824,5235873279.075206,5235873279.075206
54,5. volume,0.0002319345139817,0.0035170735782241,0.0152293963761443,5235873279.074698,5235873279.074698
33,PHASE,0.0002319408947615,0.0035698278713585,0.0152296058636322,5628606580.751745,5628606580.751745
48,1. open,0.0002319528508239,0.0040973549967497,0.0152299983855521,6860273054.136493,6860273054.136493
59,CMO,0.0002319636730524,0.0035006525641938,0.0152303536745682,5235873279.074661,5235873279.074661
53,DX,0.0002319642289781,0.0035070770471133,0.0152303719251425,5235873279.074796,5235873279.074796
63,SMA_SMA3,0.0002319778048475,0.0035144719826122,0.0152308176027262,5235873279.074704,5235873279.074704
44,3. low,0.0002319910883504,0.0035941873528471,0.0152312536696896,5246700374.676014,5246700374.676014
