Number of Features,Eliminated Feature,MSE,MAE,RMSE,MAPE,SMAPE
34,MOM,0.0002133054171355,0.0035164816376481,0.0146049791898355,5246700374.675808,5246700374.675808
40,MOM,0.0002133848722854,0.0035696988636004,0.0146076990756738,5235873279.075047,5235873279.075047
27,ROC,0.0002134654146283,0.0034286745005251,0.0146104556612141,5628606580.751271,5628606580.751271
41,DX,0.000213474071071,0.0035354943401882,0.0146107518995799,5235873279.074938,5235873279.074938
33,TRIX,0.0002137843265227,0.0035252719714637,0.0146213654123926,5628606580.751764,5628606580.751764
41,ROCR,0.0002139603506262,0.0035396076083096,0.0146273835878553,5235873279.074967,5235873279.074967
36,OBV,0.0002140676940437,0.0035178182844669,0.0146310523901636,5246700374.676024,5246700374.676024
30,MINUS_DI,0.0002140799636485,0.0034281740468027,0.014631471684301,5628606580.751101,5628606580.751101
42,MACD_Hist,0.0002141811599335,0.003537297743938,0.0146349294475089,5235873279.07486,5235873279.07486
27,NATR,0.000214279743768,0.0034225903847634,0.0146382971608042,5653451757.628422,5653451757.628422
39,SINE,0.0002143135425622,0.0035474907511155,0.0146394515799677,5235873279.0750675,5235873279.0750675
36,MOM,0.0002144331251583,0.0035294183972921,0.0146435352684505,5246700374.676041,5246700374.676041
29,ATR,0.0002144613860724,0.0034539891122971,0.0146445001987925,5628606580.75121,5628606580.75121
26,MACD_Signal,0.0002145829418822,0.003456576948515,0.014648649831374,5628606580.751279,5628606580.751279
29,NATR,0.0002145832669124,0.0034547587336591,0.0146486609255727,5628606580.751218,5628606580.751218
34,ROC,0.0002146537827381,0.0035471277917982,0.0146510676313428,5246700374.675841,5246700374.675841
36,MAMA,0.0002146797944623,0.00353753111763,0.0146519553119159,5246700374.675939,5246700374.675939
39,Unnamed: 0,0.0002146954145567,0.0035344921683459,0.0146524883400989,5235873279.074944,5235873279.074944
33,MACD,0.0002146981160967,0.0034988023942314,0.0146525805268831,5628606580.751621,5628606580.751621
29,ADOSC,0.0002147218983186,0.0034407145144446,0.0146533920413888,5628606580.75117,5628606580.75117
32,HT_TRENDLINE,0.000214747971639,0.0034949153730823,0.0146542816828071,5628606580.751709,5628606580.751709
40,TRIX,0.0002147530818773,0.0035798120541336,0.0146544560416749,5235873279.075155,5235873279.075155
37,Real Lower Band,0.000214807328077,0.0035332589643999,0.0146563067679762,5235873279.074962,5235873279.074962
32,MACD_Signal,0.0002148875688142,0.0035173478591582,0.0146590439256523,5628606580.751522,5628606580.751522
42,MIDPRICE,0.0002149331136485,0.003548339288351,0.0146605973155442,5235873279.07498,5235873279.07498
